rating,features,promo_price,currency,instock,current_price,sku,title,primary_image_url,price,description,ean,mpn,brand,promo_qty,image_urls,expiry,crawl_time,promo_data,retailer_sku_code,categories,url,upc,attributes,model
,,,SGD,In Stock Now,,276528,TDK WR680 On-Ear Headphones ,,SG$35,,,,TDK,,http://i2.expansys.com/img/b/276528/tdk-wr680-on-ear-headphones.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,285781,BlackBerry® PRIV Slide-Out Hard Shell ,,SG$53,,,,BlackBerry,,http://i1.expansys.com/img/b/285781/blackberry-priv-slide-out-hard-shell.jpg,,,,,,,,,
,,,SGD,In Stock Now,,285782,BlackBerry® PRIV Slide-Out Hard Shell ,,SG$53,,,,BlackBerry,,http://i1.expansys.com/img/b/285782/blackberry-priv-slide-out-hard-shell.jpg,,,,,,,,,
,,,SGD,In Stock Now,,285347,BlackBerry® PRIV Sync Pod w/1.2m USB Cable ,,SG$53,,,,BlackBerry,,http://i2.expansys.com/img/b/285347/blackberry-priv-sync-pod-w1-2m-usb-cable.jpg,,,,,,,,,
,,,,Pre-order to BE FIRST,,285346,BlackBerry® PRIV Sync Pod Nest ,,,,,,BlackBerry,,http://i2.expansys.com/img/b/285346/blackberry-priv-sync-pod-nest.jpg,,,,,,,,,
,,,SGD,In Stock Now,,285778,BlackBerry® PRIV Leather Swivel Holster ,,SG$71,,,,BlackBerry,,http://i2.expansys.com/img/b/285778/blackberry-priv-leather-swivel-holster.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280863,Samsung GALAXY A8 Dual SIM SM-A8000 ,,SG$609,,,,Samsung,,http://i1.expansys.com/img/b/280863/samsung-galaxy-a8-dual-sim-sm-a8000.jpg,,,,,,,,,
,,,SGD,In Stock Now,,285976,"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",,SG$404,,,,ASUS,,http://i2.expansys.com/img/b/285976/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,,,,,,,,,
,,,SGD,In Stock Now,,278533,LG G4 Dual-SIM H818N ,,SG$649,,,,LG,,http://i1.expansys.com/img/b/278533/lg-g4-dual-sim-h818n.jpg,,,,,,,,,
,,,SGD,In Stock Now,,278550,AT Screen Guard  for LG G4 ,,SG$3,,,,AT,,http://i1.expansys.com/img/b/278550/at-screen-guard-for-lg-g4.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,278531,LG G4 Dual-SIM H818N ,,SG$594,,,,LG,,http://i1.expansys.com/img/b/278531/lg-g4-dual-sim-h818n.jpg,,,,,,,,,
,,,SGD,In Stock Now,,279905,Innodoo PAICK Smart Watch ,,SG$143,,,,Innodoo,,http://i2.expansys.com/img/b/279905/innodoo-paick-smart-watch.jpg,,,,,,,,,
,,,SGD,In Stock Now,,279291,goo.ey Case for Samsung Galaxy S6 Edge ,,SG$37,,,,goo.ey,,http://i1.expansys.com/img/b/279291/goo-ey-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
